"","BGN_DATE","EVTYPE","COUNTY","COUNTYNAME","STATE","FATALITIES","INJURIES","LATITUDE","LONGITUDE"
"376684","2/13/2000 0:00:00","TSTM WIND",89,"MADISON","AL",0,2,3444,8637
"376694","4/3/2000 0:00:00","TORNADO",57,"FAYETTE","AL",0,1,3346,8738
"376702","11/11/2000 0:00:00","AVALANCHE",15,"AKZ015","AK",0,1,0,0
"376704","11/12/2000 0:00:00","HIGH WIND",13,"AKZ013 - 015>017 - 019>021","AK",0,2,0,0
"379201","1/9/2000 0:00:00","TORNADO",101,"MONTGOMERY","AL",0,1,3218,8620
"379264","2/13/2000 0:00:00","TSTM WIND",73,"JEFFERSON","AL",0,1,3324,8656
"379366","3/10/2000 0:00:00","TSTM WIND",125,"TUSCALOOSA","AL",1,0,3308,8738
"379441","4/2/2000 0:00:00","LIGHTNING",1,"AUTAUGA","AL",0,1,0,0
"379455","4/2/2000 0:00:00","TORNADO",15,"CALHOUN","AL",1,6,3354,8533
"379502","4/8/2000 0:00:00","HIGH WIND",2,"ALZ002","AL",1,0,0,0
"379570","5/25/2000 0:00:00","LIGHTNING",73,"JEFFERSON","AL",0,1,0,0
"379582","6/16/2000 0:00:00","LIGHTNING",73,"JEFFERSON","AL",0,1,0,0
"379591","6/22/2000 0:00:00","TSTM WIND",31,"COFFEE","AL",1,0,3134,8604
"379596","6/24/2000 0:00:00","EXCESSIVE HEAT",8,"ALZ008","AL",1,0,0,0
"379599","6/25/2000 0:00:00","EXCESSIVE HEAT",62,"ALZ062 - 064","AL",1,0,0,0
"379609","6/25/2000 0:00:00","LIGHTNING",97,"MOBILE","AL",0,1,0,0
"379612","6/25/2000 0:00:00","LIGHTNING",97,"MOBILE","AL",0,1,0,0
"379636","7/14/2000 0:00:00","EXCESSIVE HEAT",61,"ALZ061 - 063","AL",2,0,0,0
"379661","7/20/2000 0:00:00","TSTM WIND",77,"LAUDERDALE","AL",0,1,3454,8741
"379663","7/20/2000 0:00:00","TSTM WIND",91,"MARENGO","AL",0,2,3231,8750
"379672","7/20/2000 0:00:00","TSTM WIND",79,"LAWRENCE","AL",0,1,3433,8719
"379680","7/20/2000 0:00:00","TSTM WIND",89,"MADISON","AL",0,2,3443,8632
"379687","7/20/2000 0:00:00","TSTM WIND",71,"JACKSON","AL",0,1,3443,8558
"379695","7/20/2000 0:00:00","TSTM WIND",9,"BLOUNT","AL",0,1,3400,8634
"379825","8/10/2000 0:00:00","TSTM WIND",49,"DEKALB","AL",0,1,3428,8547
"379915","9/1/2000 0:00:00","LIGHTNING",1,"AUTAUGA","AL",0,1,0,0
"379934","9/23/2000 0:00:00","LIGHTNING",73,"JEFFERSON","AL",0,5,0,0
"379959","11/3/2000 0:00:00","FOG",64,"ALZ064","AL",0,8,0,0
"379961","11/6/2000 0:00:00","TORNADO",97,"MOBILE","AL",0,2,3030,8814
"379999","11/28/2000 0:00:00","FOG",63,"ALZ063","AL",0,12,0,0
"380013","12/16/2000 0:00:00","TORNADO",61,"GENEVA","AL",1,9,3101,8554
"380024","12/16/2000 0:00:00","TORNADO",125,"TUSCALOOSA","AL",11,144,3303,8742
"380033","12/16/2000 0:00:00","TORNADO",115,"ST. CLAIR","AL",0,2,3347,8619
"380039","12/16/2000 0:00:00","TORNADO",55,"ETOWAH","AL",0,14,3403,8556
"380069","12/31/2000 0:00:00","EXTREME COLD",24,"ALZ024","AL",1,0,0,0
"380114","1/26/2000 0:00:00","WINTER STORM",14,"AKZ014>015 - 017","AK",2,0,0,0
"380115","1/26/2000 0:00:00","AVALANCHE",17,"AKZ017","AK",1,1,0,0
"380122","1/27/2000 0:00:00","HEAVY SNOW",13,"AKZ013","AK",1,0,0,0
"380128","1/29/2000 0:00:00","EXTREME COLD",11,"AKZ011","AK",1,0,0,0
"380138","2/1/2000 0:00:00","AVALANCHE",15,"AKZ015","AK",1,2,0,0
"380202","3/23/2000 0:00:00","EXTREME WINDCHILL",11,"AKZ011","AK",1,0,0,0
"380213","4/8/2000 0:00:00","AVALANCHE",14,"AKZ014","AK",1,0,0,0
"380214","4/8/2000 0:00:00","AVALANCHE",13,"AKZ013","AK",1,1,0,0
"380230","5/18/2000 0:00:00","WILD/FOREST FIRE",5,"UPPER YUKON VALLEY","AK",0,9,0,0
"380237","6/24/2000 0:00:00","EXCESSIVE HEAT",11,"AKZ011","AK",1,0,0,0
"380305","11/2/2000 0:00:00","HIGH WIND",11,"AKZ011 - 013 - 016 - 019>021","AK",0,2,0,0
"380336","12/9/2000 0:00:00","AVALANCHE",145,"AKZ145","AK",1,0,0,0
"380348","12/17/2000 0:00:00","HEAVY SNOW",101,"AKZ101","AK",2,0,0,0
"380372","3/5/2000 0:00:00","WINTER STORM",24,"AZZ024","AZ",1,0,0,0
"380373","3/5/2000 0:00:00","WINTER STORM",33,"AZZ033","AZ",2,10,0,0
"380375","3/7/2000 0:00:00","DUST STORM",35,"AZZ035","AZ",0,3,0,0
"380377","3/20/2000 0:00:00","WINTER STORM",10,"AZZ010 - 012>016","AZ",5,0,0,0
"380419","6/29/2000 0:00:00","LIGHTNING",13,"MARICOPA","AZ",0,2,0,0
"380440","7/28/2000 0:00:00","LIGHTNING",3,"COCHISE","AZ",0,2,0,0
"380460","8/6/2000 0:00:00","DRY MICROBURST",7,"GILA","AZ",0,1,0,0
"380544","8/12/2000 0:00:00","LIGHTNING",7,"GILA","AZ",1,2,0,0
"380564","8/16/2000 0:00:00","TSTM WIND",15,"MOHAVE","AZ",0,1,3427,11422
"380567","8/17/2000 0:00:00","TSTM WIND",25,"YAVAPAI","AZ",0,1,3345,11217
"380573","8/17/2000 0:00:00","TSTM WIND",13,"MARICOPA","AZ",0,4,3325,11149
"380578","8/22/2000 0:00:00","LIGHTNING",5,"COCONINO","AZ",0,7,0,0
"380606","9/14/2000 0:00:00","DUST STORM",15,"AZZ015","AZ",0,3,0,0
"380611","10/7/2000 0:00:00","TSTM WIND/HAIL",1,"APACHE","AZ",0,1,0,0
"380621","10/19/2000 0:00:00","LIGHTNING",13,"MARICOPA","AZ",0,1,0,0
"380623","10/19/2000 0:00:00","LIGHTNING",19,"PIMA","AZ",0,4,0,0
"380624","10/21/2000 0:00:00","LIGHTNING",27,"YUMA","AZ",0,1,0,0
"380625","10/21/2000 0:00:00","LIGHTNING",21,"PINAL","AZ",1,1,0,0
"380629","10/22/2000 0:00:00","FLASH FLOOD",12,"LA PAZ","AZ",1,0,0,0
"380687","1/3/2000 0:00:00","TSTM WIND",5,"BAXTER","AR",0,1,3612,9217
"380705","1/27/2000 0:00:00","WINTER STORM",3,"ARZ003>007 - 012>016 - 021>025 - 030>034 - 037>047 - 052>057 - 062>069","AR",1,0,0,0
"380716","2/13/2000 0:00:00","TORNADO",85,"LONOKE","AR",0,2,3453,9159
"380733","2/18/2000 0:00:00","TORNADO",125,"SALINE","AR",0,9,3435,9239
"381011","5/12/2000 0:00:00","TSTM WIND",39,"DALLAS","AR",0,2,3349,9225
"381029","5/12/2000 0:00:00","TSTM WIND",25,"CLEVELAND","AR",0,1,3344,9159
"381035","5/12/2000 0:00:00","TSTM WIND",69,"JEFFERSON","AR",0,1,3406,9159
"381084","5/19/2000 0:00:00","TSTM WIND",91,"MILLER","AR",1,2,3326,9402
"381230","5/27/2000 0:00:00","TORNADO",93,"MISSISSIPPI","AR",0,1,3553,9017
"381271","7/8/2000 0:00:00","EXCESSIVE HEAT",44,"ARZ044","AR",1,0,0,0
"381332","7/20/2000 0:00:00","TSTM WIND",119,"PULASKI","AR",0,1,3448,9222
"381365","7/20/2000 0:00:00","TSTM WIND",77,"LEE","AR",1,0,3446,9045
"381369","7/20/2000 0:00:00","TSTM WIND",1,"ARKANSAS","AR",0,2,3421,9110
"381397","8/18/2000 0:00:00","TSTM WIND",51,"GARLAND","AR",0,1,3426,9317
"381416","8/21/2000 0:00:00","TSTM WIND",27,"COLUMBIA","AR",1,0,3320,9310
"381419","8/22/2000 0:00:00","LIGHTNING",9,"BOONE","AR",0,1,0,0
"381424","8/23/2000 0:00:00","LIGHTNING",141,"VAN BUREN","AR",0,1,0,0
"381460","9/2/2000 0:00:00","TSTM WIND",133,"SEVIER","AR",0,1,3350,9407
"381511","1/5/2000 0:00:00","HIGH WIND",48,"CAZ048>049 - 057","CA",0,2,0,0
"381513","1/6/2000 0:00:00","WILD/FOREST FIRE",71,"SAN BERNARDINO","CA",0,1,0,0
"381527","1/12/2000 0:00:00","FOG",49,"CAZ049","CA",0,1,0,0
"381553","1/22/2000 0:00:00","HEAVY RAIN",67,"SACRAMENTO","CA",0,1,0,0
"381610","2/3/2000 0:00:00","WIND",91,"CAZ091>092 - 095","CA",1,4,0,0
"381615","2/10/2000 0:00:00","HEAVY RAIN",59,"ORANGE","CA",1,4,0,0
"381616","2/10/2000 0:00:00","HEAVY RAIN",71,"SAN BERNARDINO","CA",2,3,0,0
"381618","2/10/2000 0:00:00","HEAVY RAIN",65,"RIVERSIDE","CA",0,1,0,0
"381660","2/13/2000 0:00:00","HIGH WIND",1,"CAZ001 - 003 - 076","CA",1,0,0,0
"381700","2/23/2000 0:00:00","TSTM WIND",37,"LOS ANGELES","CA",0,1,3402,11818
"381708","2/26/2000 0:00:00","HEAVY RAIN",89,"SHASTA","CA",0,1,0,0
"381720","2/27/2000 0:00:00","HAIL",39,"MADERA","CA",0,4,3656,12004
"381728","3/3/2000 0:00:00","LIGHTNING",65,"RIVERSIDE","CA",0,3,0,0
"381732","3/4/2000 0:00:00","WINTER STORM",55,"CAZ055>056 - 058","CA",3,13,0,0
"381735","3/5/2000 0:00:00","URBAN/SML STREAM FLD",73,"SAN DIEGO","CA",0,2,0,0
"381738","3/5/2000 0:00:00","HIGH WIND",42,"CAZ042>043 - 061","CA",0,15,0,0
"381743","3/5/2000 0:00:00","FLASH FLOOD",65,"RIVERSIDE","CA",1,0,0,0
"381748","3/6/2000 0:00:00","HAIL",59,"ORANGE","CA",1,0,3344,11749
"381762","3/8/2000 0:00:00","URBAN/SML STREAM FLD",65,"RIVERSIDE","CA",2,4,0,0
"381769","3/25/2000 0:00:00","RIP CURRENTS",23,"HUMBOLDT","CA",3,0,0,0
"381771","3/28/2000 0:00:00","FOG",55,"CAZ055","CA",0,4,0,0
"381789","4/17/2000 0:00:00","HEAVY RAIN",73,"SAN DIEGO","CA",0,2,0,0
"381792","4/17/2000 0:00:00","RIP CURRENTS",59,"ORANGE","CA",1,0,0,0
"381793","4/17/2000 0:00:00","LIGHTNING",47,"MERCED","CA",0,1,0,0
"381797","4/17/2000 0:00:00","SMALL HAIL",19,"FRESNO","CA",0,4,0,0
"381814","4/22/2000 0:00:00","HEAVY SURF",43,"CAZ043","CA",0,4,0,0
"381815","4/22/2000 0:00:00","FOG",55,"CAZ055","CA",0,32,0,0
"381818","4/28/2000 0:00:00","HIGH WIND",61,"CAZ061","CA",0,1,0,0
"381831","5/18/2000 0:00:00","RIP CURRENTS",59,"ORANGE","CA",1,0,0,0
"381832","5/20/2000 0:00:00","EXCESSIVE HEAT",58,"CAZ058","CA",1,3,0,0
"381836","5/27/2000 0:00:00","RIP CURRENTS",59,"ORANGE","CA",0,2,0,0
"381840","6/1/2000 0:00:00","RIP CURRENTS",73,"SAN DIEGO","CA",1,0,0,0
"381842","6/4/2000 0:00:00","RIP CURRENTS",59,"ORANGE","CA",1,0,0,0
"381851","6/13/2000 0:00:00","EXCESSIVE HEAT",15,"CAZ015>019 - 067","CA",1,15,0,0
"381853","6/14/2000 0:00:00","EXCESSIVE HEAT",5,"CAZ005 - 005>008 - 010 - 075","CA",9,102,0,0
"381856","6/16/2000 0:00:00","HIGH SEAS",1,"CAZ001","CA",0,2,0,0
"381857","6/17/2000 0:00:00","HIGH WIND",18,"CAZ018","CA",1,0,0,0
"381865","6/24/2000 0:00:00","EXCESSIVE HEAT",62,"CAZ062","CA",1,0,0,0
"381866","6/25/2000 0:00:00","LIGHTNING",43,"MARIPOSA","CA",0,4,0,0
"381881","7/20/2000 0:00:00","WILD/FOREST FIRE",73,"SAN DIEGO","CA",1,0,0,0
"381886","7/23/2000 0:00:00","EXCESSIVE HEAT",43,"CAZ043","CA",0,1,0,0
"381889","7/29/2000 0:00:00","WILD/FOREST FIRE",65,"RIVERSIDE","CA",0,3,0,0
"381893","8/1/2000 0:00:00","WILD/FOREST FIRE",65,"RIVERSIDE","CA",0,9,0,0
"381894","8/1/2000 0:00:00","WILD/FOREST FIRE",73,"SAN DIEGO","CA",0,29,0,0
"381897","8/1/2000 0:00:00","RIP CURRENTS",59,"ORANGE","CA",0,2,0,0
"381915","8/7/2000 0:00:00","FOG",43,"CAZ043","CA",0,1,0,0
"381918","8/14/2000 0:00:00","RIP CURRENTS",73,"SAN DIEGO","CA",1,0,0,0
"381923","8/15/2000 0:00:00","ROUGH SEAS",34,"CAZ034","CA",2,5,0,0
"381926","8/17/2000 0:00:00","RIP CURRENTS",59,"ORANGE","CA",1,0,0,0
"381930","8/20/2000 0:00:00","RIP CURRENTS",73,"SAN DIEGO","CA",1,0,0,0
"381945","8/26/2000 0:00:00","DRY MICROBURST",71,"SAN BERNARDINO","CA",0,1,0,0
"381959","8/29/2000 0:00:00","FLASH FLOOD",71,"SAN BERNARDINO","CA",0,3,0,0
"381976","9/1/2000 0:00:00","LIGHTNING",19,"FRESNO","CA",0,1,0,0
"381981","9/7/2000 0:00:00","LIGHTNING",73,"SAN DIEGO","CA",0,3,0,0
"381984","9/11/2000 0:00:00","WILD/FOREST FIRE",59,"ORANGE","CA",0,2,0,0
"382014","10/21/2000 0:00:00","HIGH WIND",5,"CAZ005 - 007","CA",0,1,0,0
"382099","3/31/2000 0:00:00","RIP CURRENTS",113,"SANTA ROSA","FL",1,0,0,0
"382100","4/2/2000 0:00:00","RIP CURRENTS",33,"ESCAMBIA","FL",0,1,0,0
"382103","4/3/2000 0:00:00","RIP CURRENTS",33,"ESCAMBIA","FL",1,1,0,0
"382105","4/3/2000 0:00:00","TSTM WIND",33,"ESCAMBIA","FL",0,4,3023,8716
"382127","11/25/2000 0:00:00","FOG",42,"CAZ042>043","CA",0,4,0,0
"382130","11/29/2000 0:00:00","HIGH WIND",73,"CAZ073","CA",0,1,0,0
"382133","12/1/2000 0:00:00","FOG",43,"CAZ043 - 043 - 050","CA",3,3,0,0
"382159","12/22/2000 0:00:00","HEAVY SURF",73,"SAN DIEGO","CA",0,2,0,0
"382162","12/25/2000 0:00:00","HIGH WIND",42,"CAZ042 - 048 - 048>049 - 057","CA",0,4,0,0
"382165","12/25/2000 0:00:00","RIP CURRENTS",37,"LOS ANGELES","CA",1,0,0,0
"382166","12/26/2000 0:00:00","WILD/FOREST FIRE",111,"VENTURA","CA",0,2,0,0
"382192","1/25/2000 0:00:00","AVALANCHE",10,"COZ010","CO",1,0,0,0
"382205","2/15/2000 0:00:00","HIGH WIND",35,"COZ035 - 038 - 040 - 042 - 048>050","CO",0,2,0,0
"382257","3/17/2000 0:00:00","AVALANCHE",10,"COZ010","CO",2,0,0,0
"382279","4/18/2000 0:00:00","HIGH WIND",35,"COZ035 - 040 - 048>050","CO",0,3,0,0
"382508","7/5/2000 0:00:00","TORNADO",75,"LOGAN","CO",0,2,4041,10242
"382511","7/7/2000 0:00:00","LIGHTNING",7,"ARCHULETA","CO",0,1,0,0
"382517","7/8/2000 0:00:00","LIGHTNING",19,"CLEAR CREEK","CO",0,2,0,0
"382527","7/10/2000 0:00:00","LIGHTNING",13,"BOULDER","CO",0,3,0,0
"382545","7/12/2000 0:00:00","LIGHTNING",13,"BOULDER","CO",1,0,0,0
"382551","7/12/2000 0:00:00","LIGHTNING",75,"LOGAN","CO",0,1,0,0
"382556","7/15/2000 0:00:00","LIGHTNING",97,"PITKIN","CO",0,1,0,0
"382567","7/16/2000 0:00:00","LIGHTNING",19,"CLEAR CREEK","CO",0,2,0,0
"382579","7/17/2000 0:00:00","LIGHTNING",31,"DENVER","CO",0,1,0,0
"382715","7/24/2000 0:00:00","LIGHTNING",13,"BOULDER","CO",0,2,0,0
"382718","7/25/2000 0:00:00","LIGHTNING",41,"EL PASO","CO",1,0,0,0
"382730","7/28/2000 0:00:00","LIGHTNING",41,"EL PASO","CO",0,1,0,0
"382756","8/12/2000 0:00:00","TSTM WIND",83,"MONTEZUMA","CO",0,4,3723,10813
"382768","8/17/2000 0:00:00","FLASH FLOOD",1,"ADAMS","CO",1,0,0,0
"382775","8/18/2000 0:00:00","TSTM WIND",73,"LINCOLN","CO",0,2,3917,10339
"382777","8/18/2000 0:00:00","TSTM WIND",39,"ELBERT","CO",0,1,3920,10353
"382861","10/3/2000 0:00:00","LIGHTNING",69,"LARIMER","CO",0,2,0,0
"382892","11/30/2000 0:00:00","HIGH WIND",35,"COZ035 - 040 - 044 - 048>050","CO",0,1,0,0
"382905","12/17/2000 0:00:00","HIGH WIND",38,"COZ038 - 040 - 042 - 044 - 046 - 048>050","CO",0,1,0,0
"382910","12/18/2000 0:00:00","HIGH WIND",46,"COZ046 - 048>050","CO",0,2,0,0
"382933","4/8/2000 0:00:00","HIGH WIND",2,"CTZ002","CT",0,1,0,0
"382946","5/10/2000 0:00:00","LIGHTNING",7,"MIDDLESEX","CT",1,0,0,0
"382978","6/2/2000 0:00:00","TSTM WIND",1,"FAIRFIELD","CT",0,1,4101,7338
"382982","6/2/2000 0:00:00","TSTM WIND",9,"NEW HAVEN","CT",1,0,4118,7255
"382994","6/11/2000 0:00:00","TSTM WIND",3,"HARTFORD","CT",0,8,4149,7254
"382996","6/11/2000 0:00:00","LIGHTNING",5,"LITCHFIELD","CT",0,1,0,0
"382998","6/11/2000 0:00:00","LIGHTNING",9,"NEW HAVEN","CT",0,1,0,0
"383005","6/27/2000 0:00:00","LIGHTNING",9,"NEW HAVEN","CT",0,2,0,0
"383010","6/27/2000 0:00:00","LIGHTNING",7,"MIDDLESEX","CT",0,1,0,0
"383028","9/9/2000 0:00:00","LIGHTNING",3,"HARTFORD","CT",0,12,0,0
"383057","1/20/2000 0:00:00","HEAVY SNOW",1,"DEZ001>003","DE",0,30,0,0
"383059","1/25/2000 0:00:00","WINTER STORM",1,"DEZ001>004","DE",0,25,0,0
"383133","4/5/2000 0:00:00","STRONG WIND",1,"DCZ001","DC",0,2,0,0
"383134","5/6/2000 0:00:00","UNSEASONABLY WARM",1,"DCZ001","DC",0,1,0,0
"383153","1/3/2000 0:00:00","RIP CURRENTS",86,"MIAMI-DADE","FL",0,1,0,0
"383156","1/14/2000 0:00:00","HIGH WIND",68,"FLZ068","FL",1,0,0,0
"383167","1/24/2000 0:00:00","TSTM WIND",73,"LEON","FL",0,1,3027,8417
"383190","2/14/2000 0:00:00","LIGHTNING",91,"OKALOOSA","FL",0,1,0,0
"383221","3/16/2000 0:00:00","WILD/FOREST FIRE",51,"HENDRY","FL",0,1,0,0
"383274","4/22/2000 0:00:00","WILD/FOREST FIRE",15,"CHARLOTTE","FL",0,1,0,0
"383396","6/4/2000 0:00:00","RIP CURRENTS",33,"ESCAMBIA","FL",2,0,0,0
"383409","6/7/2000 0:00:00","RIP CURRENTS",127,"VOLUSIA","FL",2,0,0,0
"383412","6/8/2000 0:00:00","LIGHTNING",11,"BROWARD","FL",2,0,0,0
"383414","6/9/2000 0:00:00","TORNADO",71,"LEE","FL",0,1,2643,8216
"383420","6/12/2000 0:00:00","LIGHTNING",95,"ORANGE","FL",1,2,0,0
"383427","6/12/2000 0:00:00","LIGHTNING",69,"LAKE","FL",0,1,0,0
"383428","6/13/2000 0:00:00","LIGHTNING",17,"CITRUS","FL",0,4,0,0
"383457","6/16/2000 0:00:00","LIGHTNING",103,"PINELLAS","FL",0,3,0,0
"383491","6/22/2000 0:00:00","LIGHTNING",61,"INDIAN RIVER","FL",0,1,0,0
"383500","6/23/2000 0:00:00","LIGHTNING",31,"DUVAL","FL",0,2,0,0
"383507","6/23/2000 0:00:00","LIGHTNING",57,"HILLSBOROUGH","FL",1,1,0,0
"383510","6/24/2000 0:00:00","LIGHTNING",105,"POLK","FL",0,1,0,0
"383527","7/26/2000 0:00:00","LIGHTNING",87,"MONROE","FL",0,1,0,0
"383533","7/26/2000 0:00:00","TSTM WIND",127,"VOLUSIA","FL",0,1,2854,8114
"383549","7/29/2000 0:00:00","LIGHTNING",81,"MANATEE","FL",1,0,0,0
"383569","6/26/2000 0:00:00","LIGHTNING",9,"BREVARD","FL",0,1,0,0
"383570","6/26/2000 0:00:00","LIGHTNING",53,"HERNANDO","FL",0,1,0,0
"383595","7/7/2000 0:00:00","TSTM WIND/HAIL",31,"DUVAL","FL",0,1,0,0
"383609","7/8/2000 0:00:00","LIGHTNING",57,"HILLSBOROUGH","FL",0,1,0,0
"383660","7/15/2000 0:00:00","LIGHTNING",11,"BROWARD","FL",0,1,0,0
"383661","7/15/2000 0:00:00","LIGHTNING",57,"HILLSBOROUGH","FL",1,0,0,0
"383746","7/20/2000 0:00:00","LIGHTNING",105,"POLK","FL",0,1,0,0
"383768","7/22/2000 0:00:00","LIGHTNING",79,"MADISON","FL",0,2,0,0
"383798","7/30/2000 0:00:00","LIGHTNING",9,"BREVARD","FL",1,0,0,0
"383801","7/30/2000 0:00:00","LIGHTNING",5,"BAY","FL",0,3,0,0
"383803","7/30/2000 0:00:00","LIGHTNING",81,"MANATEE","FL",0,3,0,0
"383820","8/2/2000 0:00:00","TSTM WIND",95,"ORANGE","FL",0,1,2833,8122
"383828","8/5/2000 0:00:00","LIGHTNING",57,"HILLSBOROUGH","FL",0,1,0,0
"383846","8/9/2000 0:00:00","LIGHTNING",11,"BROWARD","FL",0,1,0,0
"383852","8/9/2000 0:00:00","LIGHTNING",119,"SUMTER","FL",0,1,0,0
"383863","8/9/2000 0:00:00","TSTM WIND",73,"LEON","FL",0,3,3027,8417
"383885","8/12/2000 0:00:00","TSTM WIND (G45)",103,"PINELLAS","FL",0,3,0,0
"383925","8/19/2000 0:00:00","LIGHTNING",71,"LEE","FL",0,1,0,0
"384007","9/3/2000 0:00:00","LIGHTNING",105,"POLK","FL",0,1,0,0
"384047","9/16/2000 0:00:00","LIGHTNING",109,"ST. JOHNS","FL",1,0,0,0
"384075","9/17/2000 0:00:00","RIP CURRENTS",33,"ESCAMBIA","FL",1,0,0,0
"384081","9/20/2000 0:00:00","RIP CURRENTS",33,"ESCAMBIA","FL",1,0,0,0
"384173","4/3/2000 0:00:00","TORNADO",233,"POLK","GA",0,6,3358,8523
"384249","1/22/2000 0:00:00","ICE STORM",1,"GAZ001>009 - 011>016 - 019>025 - 027 - 030>039 - 041>055 - 057","GA",0,1,0,0
"384267","2/13/2000 0:00:00","LIGHTNING",187,"LUMPKIN","GA",0,51,0,0
"384268","2/13/2000 0:00:00","TORNADO",87,"DECATUR","GA",0,1,3103,8423
"384271","2/13/2000 0:00:00","TORNADO",205,"MITCHELL","GA",11,175,3110,8416
"384278","2/14/2000 0:00:00","TORNADO",131,"GRADY","GA",6,15,3101,8412
"384280","2/14/2000 0:00:00","TORNADO",205,"MITCHELL","GA",1,1,3105,8401
"384282","2/14/2000 0:00:00","TORNADO",71,"COLQUITT","GA",1,0,3119,8338
"384283","2/14/2000 0:00:00","TORNADO",277,"TIFT","GA",0,10,3118,8338
"384338","3/26/2000 0:00:00","LIGHTNING",27,"BROOKS","GA",2,0,0,0
"384375","4/3/2000 0:00:00","TORNADO",171,"LAMAR","GA",0,1,3309,8415
"384377","4/8/2000 0:00:00","STRONG WIND",33,"GAZ033 - 082","GA",0,13,0,0
"384552","6/25/2000 0:00:00","LIGHTNING",223,"PAULDING","GA",0,1,0,0
"384568","6/26/2000 0:00:00","LIGHTNING",121,"FULTON","GA",0,5,0,0
"384590","9/4/2000 0:00:00","LIGHTNING",29,"BRYAN","GA",0,1,0,0
"384592","2/24/2000 0:00:00","WINTER STORM",18,"IDZ018>021 - 023","ID",0,2,0,0
"384636","7/6/2000 0:00:00","TSTM WIND",33,"BURKE","GA",0,1,3302,8143
"384652","7/11/2000 0:00:00","LIGHTNING",15,"BARTOW","GA",0,1,0,0
"384659","7/11/2000 0:00:00","TSTM WIND",95,"DOUGHERTY","GA",0,1,3135,8410
"384739","7/20/2000 0:00:00","TSTM WIND",199,"MERIWETHER","GA",0,1,3302,8443
"384783","7/23/2000 0:00:00","TORNADO",11,"BANKS","GA",0,1,3418,8335
"384819","7/25/2000 0:00:00","LIGHTNING",179,"LIBERTY","GA",1,5,0,0
"384833","7/30/2000 0:00:00","LIGHTNING",223,"PAULDING","GA",0,1,0,0
"384918","8/10/2000 0:00:00","LIGHTNING",57,"CHEROKEE","GA",0,1,0,0
"384940","8/18/2000 0:00:00","LIGHTNING",153,"HOUSTON","GA",0,1,0,0
"384960","8/20/2000 0:00:00","LIGHTNING",57,"CHEROKEE","GA",0,6,0,0
"384983","8/24/2000 0:00:00","LIGHTNING",67,"COBB","GA",0,1,0,0
"384987","8/24/2000 0:00:00","LIGHTNING",123,"GILMER","GA",1,0,0,0
"385014","9/21/2000 0:00:00","LIGHTNING",135,"GWINNETT","GA",0,2,0,0
"385079","12/16/2000 0:00:00","TSTM WIND",175,"LAURENS","GA",0,1,3223,8259
"385081","12/17/2000 0:00:00","TORNADO",245,"RICHMOND","GA",0,8,3319,8158
"385145","8/3/2000 0:00:00","WILD/FOREST FIRE",3,"HONOLULU","HI",0,1,0,0
"385215","1/22/2000 0:00:00","AVALANCHE",19,"IDZ019","ID",0,1,0,0
"385229","2/14/2000 0:00:00","TSTM WIND",11,"BINGHAM","ID",0,2,4313,11220
"385240","2/14/2000 0:00:00","TORNADO",11,"BINGHAM","ID",0,1,4317,11211
"385337","12/14/2000 0:00:00","BLIZZARD",17,"IDZ017>020 - 022>023 - 031>032","ID",1,0,0,0
"385365","1/19/2000 0:00:00","WINTER STORM",27,"ILZ027>031 - 038 - 044>046 - 057","IL",0,2,0,0
"385374","2/17/2000 0:00:00","ICE STORM",27,"ILZ027>031 - 036>038","IL",0,1,0,0
"385396","3/11/2000 0:00:00","HEAVY SNOW",50,"ILZ050>052 - 054>057 - 061>063 - 066>068 - 071>073","IL",1,9,0,0
"385473","4/19/2000 0:00:00","LIGHTNING",99,"LA SALLE","IL",0,1,0,0
"385499","4/20/2000 0:00:00","TSTM WIND",107,"LOGAN","IL",0,1,4018,8936
"385556","5/8/2000 0:00:00","TSTM WIND",171,"SCOTT","IL",0,3,3935,9020
"385557","5/8/2000 0:00:00","TSTM WIND",137,"MORGAN","IL",0,1,3937,9017
"385575","5/8/2000 0:00:00","TORNADO",113,"MCLEAN","IL",0,4,4025,8854
"385731","6/24/2000 0:00:00","TORNADO",163,"ST. CLAIR","IL",0,2,3828,9009
"385808","5/18/2000 0:00:00","TSTM WIND",31,"COOK","IL",1,0,4205,8800
"385827","5/18/2000 0:00:00","TORNADO",203,"WOODFORD","IL",0,1,4047,8922
"385918","5/31/2000 0:00:00","TSTM WIND",63,"GRUNDY","IL",0,2,4114,8826
"385936","6/2/2000 0:00:00","TSTM WIND",87,"JOHNSON","IL",0,1,3725,8854
"386023","6/20/2000 0:00:00","TORNADO",173,"SHELBY","IL",0,1,3917,8907
"386039","6/20/2000 0:00:00","TSTM WIND",167,"SANGAMON","IL",0,1,3948,8939
"386062","6/21/2000 0:00:00","LIGHTNING",31,"COOK","IL",0,1,0,0
"386179","7/11/2000 0:00:00","LIGHTNING",157,"RANDOLPH","IL",0,2,0,0
"386223","8/3/2000 0:00:00","URBAN/SML STREAM FLD",199,"WILLIAMSON","IL",1,0,0,0
"386228","8/6/2000 0:00:00","TSTM WIND",123,"MARSHALL","IL",0,1,4107,8922
"386259","8/7/2000 0:00:00","FLASH FLOOD",33,"CRAWFORD","IL",3,0,0,0
"386274","8/17/2000 0:00:00","TSTM WIND",81,"JEFFERSON","IL",0,1,3819,8854
