"","BGN_DATE","EVTYPE","COUNTY","COUNTYNAME","STATE","FATALITIES","INJURIES","LATITUDE","LONGITUDE"
"722492","7/26/2008 0:00:00","HEAT",20,"NVZ020","NV",1,0,0,0
"722496","8/1/2008 0:00:00","HEAT",20,"NVZ020","NV",2,0,0,0
"722498","8/6/2008 0:00:00","HEAT",20,"NVZ020","NV",2,0,0,0
"722501","8/7/2008 0:00:00","LIGHTNING",3,"CLARK","NV",0,2,3601,11504
"722504","8/10/2008 0:00:00","HEAT",20,"NVZ020","NV",2,0,0,0
"722505","8/20/2008 0:00:00","HEAT",20,"NVZ020","NV",1,0,0,0
"722516","9/1/2008 0:00:00","STRONG WIND",20,"NVZ020","NV",0,2,0,0
"722520","9/4/2008 0:00:00","HEAT",20,"NVZ020","NV",2,0,0,0
"722524","9/10/2008 0:00:00","HEAT",20,"NVZ020","NV",1,0,0,0
"722545","12/18/2008 0:00:00","COLD/WIND CHILL",20,"NVZ020","NV",1,0,0,0
"722615","6/10/2008 0:00:00","LIGHTNING",15,"ROCKINGHAM","NH",0,1,4254,7048
"722744","7/24/2008 0:00:00","TORNADO",15,"ROCKINGHAM","NH",1,2,4309,7118
"722771","8/7/2008 0:00:00","FLASH FLOOD",1,"BELKNAP","NH",1,2,4341,7137
"722968","3/8/2008 0:00:00","THUNDERSTORM WIND",25,"MONMOUTH","NJ",0,2,4016,7410
"723001","3/24/2008 0:00:00","STRONG WIND",3,"NJZ003","NJ",0,3,0,0
"723029","6/7/2008 0:00:00","EXCESSIVE HEAT",18,"NJZ001 - 007>010 - 012>023 - 026","NJ",0,10,0,0
"723055","6/10/2008 0:00:00","THUNDERSTORM WIND",17,"HUDSON","NJ",1,1,4045,7408
"723076","6/10/2008 0:00:00","THUNDERSTORM WIND",3,"BERGEN","NJ",1,1,4056,7359
"723086","6/14/2008 0:00:00","LIGHTNING",41,"WARREN","NJ",0,4,4041,7510
"723101","6/16/2008 0:00:00","LIGHTNING",27,"MORRIS","NJ",0,1,4058,7428
"723126","6/29/2008 0:00:00","THUNDERSTORM WIND",17,"HUDSON","NJ",0,1,4043,7401
"723130","6/29/2008 0:00:00","LIGHTNING",25,"MONMOUTH","NJ",0,2,4016,7410
"723138","7/12/2008 0:00:00","RIP CURRENT",25,"NJZ014 - 024","NJ",1,0,0,0
"723153","7/23/2008 0:00:00","LIGHTNING",21,"MERCER","NJ",0,1,4013,7439
"723169","7/29/2008 0:00:00","HEAT",21,"NJZ021","NJ",0,1,0,0
"723171","8/1/2008 0:00:00","RIP CURRENT",26,"NJZ026","NJ",1,1,0,0
"723241","8/24/2008 0:00:00","RIP CURRENT",14,"NJZ014","NJ",1,0,0,0
"723245","9/2/2008 0:00:00","RIP CURRENT",14,"NJZ014","NJ",0,6,0,0
"723294","9/7/2008 0:00:00","RIP CURRENT",14,"NJZ014","NJ",1,3,0,0
"723334","11/15/2008 0:00:00","STRONG WIND",5,"NJZ005","NJ",1,0,0,0
"723335","11/15/2008 0:00:00","THUNDERSTORM WIND",15,"GLOUCESTER","NJ",1,0,3949,7513
"723382","12/25/2008 0:00:00","STRONG WIND",5,"NJZ005","NJ",2,2,0,0
